,INTERVAL,M_DATE,PRICE_ZONE_ID,POWER_SYS_ID,E_USE_FACT
304,16,09.12.2018 0:00:00,1,530000,33925
305,17,09.12.2018 0:00:00,1,530000,33648
306,18,09.12.2018 0:00:00,1,530000,33145
307,19,09.12.2018 0:00:00,1,530000,32610
308,20,09.12.2018 0:00:00,1,530000,31598
309,21,09.12.2018 0:00:00,1,530000,30099
310,22,09.12.2018 0:00:00,1,530000,28639
311,23,09.12.2018 0:00:00,1,530000,27397
312,0,10.12.2018 0:00:00,1,530000,27024
313,1,10.12.2018 0:00:00,1,530000,26574
314,2,10.12.2018 0:00:00,1,530000,26390
315,3,10.12.2018 0:00:00,1,530000,26633
316,4,10.12.2018 0:00:00,1,530000,28001
317,5,10.12.2018 0:00:00,1,530000,30270
318,6,10.12.2018 0:00:00,1,530000,32357
319,7,10.12.2018 0:00:00,1,530000,34078
320,8,10.12.2018 0:00:00,1,530000,34696
321,9,10.12.2018 0:00:00,1,530000,34583
322,10,10.12.2018 0:00:00,1,530000,33982
323,11,10.12.2018 0:00:00,1,530000,34156
324,12,10.12.2018 0:00:00,1,530000,34338
325,13,10.12.2018 0:00:00,1,530000,34248
326,14,10.12.2018 0:00:00,1,530000,34529
327,15,10.12.2018 0:00:00,1,530000,35249
328,16,10.12.2018 0:00:00,1,530000,34952
329,17,10.12.2018 0:00:00,1,530000,34550
330,18,10.12.2018 0:00:00,1,530000,33907
331,19,10.12.2018 0:00:00,1,530000,33345
332,20,10.12.2018 0:00:00,1,530000,31886
333,21,10.12.2018 0:00:00,1,530000,30187
334,22,10.12.2018 0:00:00,1,530000,28783
335,23,10.12.2018 0:00:00,1,530000,27312
336,0,11.12.2018 0:00:00,1,530000,26821
337,1,11.12.2018 0:00:00,1,530000,26544
338,2,11.12.2018 0:00:00,1,530000,26325
339,3,11.12.2018 0:00:00,1,530000,26792
340,4,11.12.2018 0:00:00,1,530000,27994
341,5,11.12.2018 0:00:00,1,530000,30432
342,6,11.12.2018 0:00:00,1,530000,32746
343,7,11.12.2018 0:00:00,1,530000,34062
344,8,11.12.2018 0:00:00,1,530000,34560
345,9,11.12.2018 0:00:00,1,530000,34595
346,10,11.12.2018 0:00:00,1,530000,34209
347,11,11.12.2018 0:00:00,1,530000,33892
348,12,11.12.2018 0:00:00,1,530000,34224
349,13,11.12.2018 0:00:00,1,530000,34014
350,14,11.12.2018 0:00:00,1,530000,34486
351,15,11.12.2018 0:00:00,1,530000,34873
352,16,11.12.2018 0:00:00,1,530000,34864
353,17,11.12.2018 0:00:00,1,530000,34639
354,18,11.12.2018 0:00:00,1,530000,33565
355,19,11.12.2018 0:00:00,1,530000,33010
356,20,11.12.2018 0:00:00,1,530000,31927
357,21,11.12.2018 0:00:00,1,530000,29983
358,22,11.12.2018 0:00:00,1,530000,28588
359,23,11.12.2018 0:00:00,1,530000,27403
360,0,12.12.2018 0:00:00,1,530000,26731
361,1,12.12.2018 0:00:00,1,530000,26256
362,2,12.12.2018 0:00:00,1,530000,26248
363,3,12.12.2018 0:00:00,1,530000,26609
364,4,12.12.2018 0:00:00,1,530000,27964
