INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
23;04.12.2018 0:00:00;1;630000;30112
0;05.12.2018 0:00:00;1;630000;30098
1;05.12.2018 0:00:00;1;630000;30253
2;05.12.2018 0:00:00;1;630000;30786
3;05.12.2018 0:00:00;1;630000;32095
4;05.12.2018 0:00:00;1;630000;33091
5;05.12.2018 0:00:00;1;630000;33993
6;05.12.2018 0:00:00;1;630000;34272
7;05.12.2018 0:00:00;1;630000;33982
8;05.12.2018 0:00:00;1;630000;33907
9;05.12.2018 0:00:00;1;630000;33554
10;05.12.2018 0:00:00;1;630000;33358
11;05.12.2018 0:00:00;1;630000;33638
12;05.12.2018 0:00:00;1;630000;33615
13;05.12.2018 0:00:00;1;630000;34100
14;05.12.2018 0:00:00;1;630000;34689
15;05.12.2018 0:00:00;1;630000;34408
16;05.12.2018 0:00:00;1;630000;33941
17;05.12.2018 0:00:00;1;630000;33766
18;05.12.2018 0:00:00;1;630000;33090
19;05.12.2018 0:00:00;1;630000;32288
20;05.12.2018 0:00:00;1;630000;31475
21;05.12.2018 0:00:00;1;630000;30608
22;05.12.2018 0:00:00;1;630000;30524
23;05.12.2018 0:00:00;1;630000;29980
0;06.12.2018 0:00:00;1;630000;30281
1;06.12.2018 0:00:00;1;630000;30032
2;06.12.2018 0:00:00;1;630000;30694
3;06.12.2018 0:00:00;1;630000;32004
4;06.12.2018 0:00:00;1;630000;32950
5;06.12.2018 0:00:00;1;630000;33933
6;06.12.2018 0:00:00;1;630000;34184
7;06.12.2018 0:00:00;1;630000;33956
8;06.12.2018 0:00:00;1;630000;33522
9;06.12.2018 0:00:00;1;630000;33293
10;06.12.2018 0:00:00;1;630000;33249
11;06.12.2018 0:00:00;1;630000;33334
12;06.12.2018 0:00:00;1;630000;33516
13;06.12.2018 0:00:00;1;630000;33877
14;06.12.2018 0:00:00;1;630000;34329
15;06.12.2018 0:00:00;1;630000;34171
16;06.12.2018 0:00:00;1;630000;33735
17;06.12.2018 0:00:00;1;630000;33562
18;06.12.2018 0:00:00;1;630000;33328
19;06.12.2018 0:00:00;1;630000;32559
20;06.12.2018 0:00:00;1;630000;31349
21;06.12.2018 0:00:00;1;630000;30599
22;06.12.2018 0:00:00;1;630000;30444
23;06.12.2018 0:00:00;1;630000;30322
0;07.12.2018 0:00:00;1;630000;30294
1;07.12.2018 0:00:00;1;630000;30498
